Year;1;2;3;4;5;6;7;8;9;10
1957;0;0.015;0.248;0.284;0.253;0.269;0.261;0.197;0.197;0.197
1958;0;0.017;0.273;0.253;0.272;0.257;0.222;0.21;0.21;0.21
1959;0;0.019;0.299;0.245;0.3;0.259;0.207;0.233;0.233;0.233
1960;0;0.024;0.321;0.282;0.349;0.295;0.235;0.274;0.274;0.274
1961;0;0.031;0.338;0.373;0.419;0.37;0.318;0.336;0.336;0.336
1962;0;0.037;0.346;0.452;0.465;0.449;0.414;0.376;0.376;0.376
1963;0;0.038;0.345;0.401;0.431;0.455;0.418;0.338;0.338;0.338
1964;0;0.035;0.349;0.283;0.354;0.389;0.328;0.256;0.256;0.256
1965;0;0.038;0.39;0.225;0.317;0.323;0.239;0.201;0.201;0.201
1966;0;0.061;0.509;0.27;0.364;0.294;0.193;0.191;0.191;0.191
1967;0.001;0.12;0.695;0.416;0.474;0.293;0.178;0.21;0.21;0.21
1968;0.005;0.222;0.844;0.594;0.563;0.305;0.186;0.228;0.228;0.228
1969;0.02;0.312;0.836;0.642;0.535;0.321;0.215;0.226;0.226;0.226
1970;0.041;0.348;0.768;0.598;0.467;0.339;0.256;0.223;0.223;0.223
1971;0.034;0.334;0.768;0.574;0.446;0.36;0.295;0.246;0.246;0.246
1972;0.015;0.296;0.855;0.604;0.486;0.383;0.317;0.302;0.302;0.302
1973;0.008;0.262;0.914;0.642;0.546;0.404;0.328;0.363;0.363;0.363
1974;0.01;0.246;0.822;0.637;0.567;0.417;0.336;0.377;0.377;0.377
1975;0.02;0.242;0.667;0.596;0.545;0.42;0.342;0.353;0.353;0.353
1976;0.028;0.235;0.59;0.564;0.511;0.411;0.346;0.339;0.339;0.339
1977;0.015;0.218;0.646;0.567;0.49;0.396;0.347;0.366;0.366;0.366
1978;0.006;0.201;0.776;0.589;0.485;0.386;0.35;0.409;0.409;0.409
1979;0.004;0.198;0.85;0.605;0.497;0.398;0.361;0.424;0.424;0.424
1980;0.007;0.213;0.796;0.605;0.524;0.438;0.383;0.39;0.39;0.39
1981;0.015;0.244;0.73;0.612;0.554;0.491;0.414;0.351;0.351;0.351
1982;0.025;0.286;0.759;0.649;0.577;0.533;0.451;0.344;0.344;0.344
1983;0.024;0.321;0.886;0.707;0.588;0.555;0.488;0.37;0.37;0.37
1984;0.015;0.32;1.005;0.737;0.596;0.57;0.518;0.409;0.409;0.409
1985;0.008;0.265;0.982;0.694;0.606;0.59;0.532;0.435;0.435;0.435
1986;0.004;0.2;0.868;0.625;0.61;0.595;0.519;0.439;0.439;0.439
1987;0.003;0.159;0.773;0.593;0.592;0.553;0.472;0.419;0.419;0.419
1988;0.003;0.145;0.742;0.622;0.552;0.471;0.406;0.386;0.386;0.386
1989;0.004;0.143;0.725;0.66;0.521;0.415;0.363;0.36;0.36;0.36
1990;0.004;0.14;0.67;0.64;0.528;0.431;0.376;0.36;0.36;0.36
1991;0.005;0.137;0.586;0.57;0.576;0.531;0.452;0.389;0.389;0.389
1992;0.006;0.142;0.53;0.533;0.634;0.66;0.56;0.435;0.435;0.435
1993;0.013;0.169;0.537;0.59;0.665;0.711;0.634;0.482;0.482;0.482
1994;0.035;0.216;0.598;0.728;0.672;0.679;0.652;0.524;0.524;0.524
1995;0.055;0.257;0.677;0.848;0.69;0.648;0.644;0.566;0.566;0.566
1996;0.035;0.258;0.73;0.832;0.744;0.674;0.637;0.612;0.612;0.612
1997;0.015;0.238;0.755;0.752;0.806;0.722;0.632;0.651;0.651;0.651
1998;0.011;0.226;0.767;0.721;0.821;0.727;0.621;0.667;0.667;0.667
1999;0.016;0.237;0.772;0.773;0.77;0.667;0.6;0.648;0.648;0.648
2000;0.032;0.263;0.762;0.831;0.71;0.603;0.568;0.595;0.595;0.595
2001;0.049;0.294;0.731;0.797;0.69;0.583;0.527;0.515;0.515;0.515
2002;0.052;0.319;0.69;0.689;0.705;0.6;0.486;0.437;0.437;0.437
2003;0.045;0.328;0.66;0.603;0.715;0.614;0.457;0.393;0.393;0.393
2004;0.04;0.313;0.654;0.59;0.682;0.587;0.447;0.397;0.397;0.397
2005;0.04;0.291;0.649;0.614;0.624;0.538;0.45;0.428;0.428;0.428
2006;0.052;0.28;0.608;0.616;0.57;0.503;0.456;0.445;0.445;0.445
2007;0.08;0.283;0.53;0.565;0.537;0.498;0.46;0.428;0.428;0.428
2008;0.088;0.269;0.467;0.507;0.523;0.511;0.468;0.411;0.411;0.411
2009;0.039;0.215;0.46;0.484;0.525;0.528;0.485;0.433;0.433;0.433
2010;0.008;0.146;0.503;0.497;0.529;0.532;0.509;0.502;0.502;0.502
2011;0.002;0.101;0.542;0.503;0.504;0.509;0.519;0.567;0.567;0.567
2012;0.001;0.085;0.51;0.464;0.43;0.45;0.496;0.559;0.559;0.559
2013;0.003;0.087;0.419;0.389;0.334;0.373;0.446;0.483;0.483;0.483
2014;0.008;0.099;0.321;0.31;0.246;0.299;0.389;0.39;0.39;0.39
