"","year","ssb","mean.f","effort_rel_2003","fpue"
"1",1978,43186,0.487,0.858527131782946,0.567250564334086
"2",1979,52189,0.51,0.87015503875969,0.586102449888641
"3",1980,38542,0.515,0.872093023255814,0.590533333333333
"4",1981,26040,0.526,0.897286821705426,0.586211663066955
"5",1982,37478,0.561,1.11046511627907,0.505193717277487
"6",1983,49493,0.611,1.27131782945736,0.480603658536585
"7",1984,51225,0.645,1.37209302325581,0.470084745762712
"8",1985,46825,0.628,1.36240310077519,0.460950213371266
"9",1986,37384,0.58,1.32170542635659,0.438826979472141
"10",1987,34096,0.534,1.32751937984496,0.40225401459854
"11",1988,42287,0.506,1.47868217054264,0.342196592398427
"12",1989,38405,0.493,1.1937984496124,0.412967532467532
"13",1990,121253,0.482,1.38372093023256,0.348336134453781
"14",1991,87197,0.48,1.32751937984496,0.361576642335766
"15",1992,87143,0.5,1.37790697674419,0.362869198312236
"16",1993,58340,0.534,1.49031007751938,0.358314694408323
"17",1994,85457,0.579,1.57751937984496,0.367031941031941
"18",1995,64139,0.624,1.57364341085271,0.396532019704434
"19",1996,37470,0.648,1.39728682170543,0.463755894590846
"20",1997,31391,0.655,1.3953488372093,0.469416666666667
"21",1998,23353,0.652,1.36046511627907,0.479247863247863
"22",1999,48977,0.644,1.30426356589147,0.493765230312036
"23",2000,41657,0.634,1.31201550387597,0.48322599704579
"24",2001,33714,0.619,1.18992248062015,0.520201954397394
"25",2002,33708,0.601,1.0968992248062,0.547908127208481
"26",2003,26379,0.584,1,0.584
"27",2004,38150,0.565,0.926340823993014,0.609926697999289
"28",2005,31116,0.543,0.95379226149212,0.569306359385352
"29",2006,24690,0.516,0.818780431444002,0.630205584041599
"30",2007,17465,0.483,0.759705854084485,0.6357723813805
"31",2008,33329,0.456,0.61211961334045,0.74495244076811
"32",2009,29421,0.442,0.678658266003284,0.651285075481363
"33",2010,29207,0.441,0.64856270538988,0.679965092557851
"34",2011,29191,0.432,0.59852681647986,0.721772171447119
"35",2012,39187,0.388,0.425777439679024,0.911274210048557
"36",2013,45444,0.32,0.383048164757704,0.835404080848201
